Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Exam_Completion_Time(minutes)
S1000,84,30,36,7,3,72,141
S1001,91,24,38,6,3,56,104
S1002,73,29,26,7,3,56,161
S1003,80,36,35,7,3,74,150
S1004,84,31,37,8,3,66,110
S1005,100,34,34,7,3,79,172
S1006,96,40,36,8,3,83,176
S1007,83,39,37,7,3,77,164
S1008,91,30,37,8,2,71,164
S1009,87,27,37,8,3,61,177
S1010,77,34,25,7,2,54,113
S1011,78,26,28,6,3,53,92
S1012,77,27,29,7,3,53,111
S1013,84,28,34,9,3,55,142
S1014,86,38,33,8,3,65,91
S1015,71,28,29,7,3,53,177
S1016,94,34,36,8,3,75,119
S1017,85,29,36,7,2,69,127
S1018,84,36,34,8,3,74,91
S1019,82,35,29,7,3,66,153
S1020,98,40,40,9,4,92,149
S1021,83,27,35,7,2,52,110
S1022,84,26,35,8,3,54,122
S1023,91,35,32,7,3,67,165
S1024,85,35,26,6,3,52,147
S1025,91,37,37,8,2,77,111
S1026,86,39,30,7,3,71,178
S1027,86,31,27,7,2,56,138
S1028,95,40,33,9,3,80,148
S1029,85,25,36,7,3,65,131
S1030,78,25,33,7,3,56,149
S1031,75,31,35,7,3,60,169
S1032,85,34,35,8,4,73,104
S1033,77,33,29,7,2,64,151
S1034,91,40,36,9,4,81,151
S1035,87,33,33,8,3,69,136
S1036,83,32,26,7,4,70,151
S1037,80,29,36,6,3,54,140
S1038,84,31,31,7,3,58,144
S1039,90,39,40,10,3,88,153
S1040,92,34,39,8,3,74,92
S1041,75,31,24,8,2,55,140
S1042,100,36,39,7,4,85,96
S1043,80,31,31,9,2,59,110
S1044,76,33,30,7,3,59,162
S1045,97,38,33,7,3,79,128
S1046,95,40,36,7,3,84,107
S1047,92,35,40,9,3,85,93
S1048,80,34,28,8,4,60,178
S1049,94,29,30,7,3,64,149
S1050,84,33,31,8,3,67,103
S1051,74,31,32,6,2,51,98
S1052,80,28,32,8,2,61,179
S1053,75,34,30,9,3,71,142
S1054,92,36,37,9,3,77,91
S1055,94,33,35,7,4,70,173
S1056,77,33,31,8,3,62,149
S1057,84,39,31,8,3,76,160
S1058,88,29,38,8,3,63,133
S1059,76,33,37,8,3,73,97
S1060,93,38,23,8,3,65,136
S1061,77,25,30,7,4,58,124
S1062,74,29,33,7,3,57,167
S1063,78,26,27,7,2,48,170
S1064,82,36,38,8,3,77,125
S1065,78,36,27,8,3,51,139
S1066,95,37,34,8,2,63,93
S1067,85,39,40,10,3,75,91
S1068,74,25,31,6,3,58,95
S1069,88,38,31,7,3,78,143
S1070,74,21,31,6,3,44,93
S1071,97,36,30,8,3,71,143
S1072,75,31,26,7,2,58,152
S1073,81,35,35,8,3,73,107
S1074,87,31,34,8,4,66,179
S1075,79,30,28,6,3,60,133
S1076,77,33,32,6,3,65,123
S1077,87,28,32,6,3,66,163
S1078,73,33,29,7,3,61,151
S1079,93,37,40,9,3,76,103
S1080,75,35,31,7,3,67,137
S1081,75,29,34,7,2,53,104
S1082,84,35,35,7,3,67,161
S1083,67,31,30,6,3,50,167
S1084,85,34,30,7,3,57,176
S1085,79,28,33,6,2,60,151
S1086,88,32,32,7,3,68,129
S1087,84,40,36,9,4,74,174
S1088,92,33,34,8,3,66,169
S1089,78,33,35,8,3,69,171
S1090,91,40,36,8,2,73,142
S1091,85,37,40,9,3,71,113
S1092,81,33,34,8,3,66,115
S1093,87,32,31,6,4,65,178
S1094,79,33,24,7,2,53,149
S1095,80,26,32,7,3,56,130
S1096,81,33,33,9,3,62,118
S1097,86,27,36,7,2,69,104
S1098,84,36,33,7,3,71,134
S1099,68,27,29,6,2,45,154
S1100,96,34,37,8,3,80,178
S1101,99,30,40,9,4,80,160
S1102,80,30,29,8,3,57,98
S1103,92,36,28,7,3,67,177
S1104,89,26,34,6,2,56,90
S1105,82,31,34,8,3,69,97
S1106,83,34,40,9,2,69,177
S1107,94,32,34,6,3,74,152
S1108,72,30,32,7,3,55,100
S1109,92,36,34,7,4,73,170
S1110,95,36,34,8,3,83,97
S1111,80,29,35,8,3,66,124
S1112,97,33,40,9,3,88,124
S1113,91,32,29,7,2,52,122
S1114,94,35,31,7,4,75,94
S1115,84,32,31,8,3,57,130
S1116,77,27,30,7,2,49,117
S1117,82,33,31,7,3,57,96
S1118,67,18,32,5,1,35,162
S1119,78,24,28,7,3,46,161
S1120,90,32,33,9,2,65,101
S1121,78,27,33,7,3,62,123
S1122,88,36,33,8,3,73,122
S1123,100,24,38,8,4,73,137
S1124,81,29,30,8,2,55,112
S1125,88,33,39,8,3,78,151
S1126,73,33,31,7,3,66,177
S1127,93,36,36,8,4,72,126
S1128,92,37,35,7,4,69,133
S1129,80,31,29,7,3,59,175
S1130,77,33,29,7,2,49,124
S1131,81,40,27,8,3,66,154
S1132,75,35,28,8,2,58,136
S1133,89,40,31,9,3,78,167
S1134,93,37,35,9,3,76,92
S1135,86,32,31,7,3,63,90
S1136,71,34,20,6,2,42,94
S1137,98,31,38,7,3,78,179
S1138,89,30,39,7,3,78,103
S1139,87,35,40,9,3,89,116
S1140,72,23,33,6,4,58,98
S1141,84,37,34,9,3,71,168
S1142,85,31,29,8,3,61,104
S1143,86,38,31,9,2,72,179
S1144,90,25,40,8,3,69,131
S1145,78,37,33,8,3,75,166
S1146,81,31,34,7,3,65,140
S1147,79,29,34,8,2,56,152
S1148,83,36,30,9,2,55,141
S1149,70,21,37,6,2,49,93
S1150,93,30,31,7,3,66,112
S1151,89,36,38,10,3,80,104
S1152,91,35,32,8,3,69,132
S1153,84,33,36,8,3,69,118
S1154,87,30,40,8,3,78,125
S1155,81,22,40,8,3,62,102
S1156,98,36,27,6,3,56,121
S1157,75,21,30,6,3,51,160
S1158,74,25,27,7,3,46,148
S1159,84,34,33,7,3,67,175
S1160,86,31,36,8,3,77,117
S1161,100,39,40,8,3,78,155
S1162,93,40,36,9,3,81,131
S1163,89,31,28,7,3,58,134
S1164,78,34,33,8,3,69,151
S1165,77,25,27,5,2,44,146
S1166,77,29,34,7,3,61,95
S1167,91,30,36,8,4,66,117
S1168,92,34,30,7,3,66,117
S1169,92,30,40,7,3,77,133
S1170,77,32,33,7,3,62,173
S1171,74,25,29,5,2,43,119
S1172,86,33,34,9,2,62,151
S1173,89,34,29,8,3,68,164
S1174,87,33,33,6,3,59,178
S1175,91,28,34,8,3,69,151
S1176,92,40,36,8,2,74,90
S1177,95,36,28,8,4,71,116
S1178,91,37,35,9,2,79,151
S1179,72,33,34,8,3,60,166
S1180,80,29,23,5,3,48,92
S1181,83,32,30,9,3,65,159
S1182,100,36,40,10,3,80,161
S1183,79,33,26,7,3,55,116
S1184,82,29,40,7,3,67,98
S1185,83,35,32,9,2,62,151
S1186,91,32,39,7,3,70,126
S1187,82,34,32,9,3,61,140
S1188,87,31,28,8,3,63,133
S1189,74,31,28,6,2,44,113
S1190,86,34,33,7,3,67,168
S1191,94,36,35,8,2,68,148
S1192,90,35,30,7,3,63,121
S1193,83,37,33,7,4,72,177
S1194,92,33,32,6,2,66,141
S1195,92,34,29,6,3,66,151
S1196,88,31,31,8,3,65,147
S1197,90,34,35,8,2,65,141
S1198,93,36,38,8,3,87,101
S1199,79,31,27,8,3,62,128
S1200,80,35,33,8,3,69,91
S1201,90,35,33,8,3,70,92
S1202,99,27,40,7,3,81,145
S1203,84,34,30,7,4,65,170
S1204,77,34,31,7,2,51,148
S1205,95,38,39,7,3,77,91
S1206,82,35,34,8,3,72,91
S1207,82,26,33,7,3,59,143
S1208,66,22,27,6,3,43,176
S1209,84,37,29,8,3,70,90
S1210,90,33,31,8,3,67,108
S1211,77,27,37,8,2,66,91
S1212,92,31,30,7,3,60,142
S1213,77,40,26,8,3,61,133
S1214,80,29,32,6,4,53,179
S1215,77,26,23,6,3,47,121
S1216,78,33,29,7,2,59,159
S1217,73,30,33,7,1,49,121
S1218,82,33,29,7,2,58,157
S1219,81,24,33,7,2,54,144
S1220,82,28,25,7,3,52,164
S1221,86,40,35,9,3,81,145
S1222,71,30,26,6,3,57,106
S1223,88,23,30,7,3,57,127
S1224,89,29,33,6,3,64,113
S1225,83,33,28,7,2,56,158
S1226,89,34,40,7,3,76,159
S1227,84,35,33,9,3,69,175
S1228,99,36,40,10,3,73,100
S1229,93,33,35,8,3,71,105
S1230,91,30,36,7,3,72,162
S1231,74,27,27,5,3,40,148
S1232,85,37,27,8,3,62,159
S1233,90,38,31,8,2,65,169
S1234,92,36,28,8,3,73,92
S1235,84,24,32,8,2,50,109
S1236,100,37,40,9,3,87,148
S1237,88,32,32,8,3,59,125
